[2025-11-13 01:43:27] [UNKNOWN] server.port "28015"
[2025-11-13 01:43:27] [UNKNOWN] server.identity "my_server_identity"
[2025-11-13 01:52:15] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:52:22] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:55:56] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:56:14] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:56:21] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:56:27] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:57:08] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:57:29] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:58:01] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:58:04] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:58:10] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:58:44] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:58:50] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:58:52] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:58:53] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:58:55] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:58:58] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:59:00] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:59:06] [USER 76561199145125286 38.150.15.252:51091] inventory.endloot
[2025-11-13 01:59:32] [USER 76561199145125286 38.150.15.252:51091] server.save
[2025-11-13 02:42:34] [UNKNOWN] server.port "28015"
[2025-11-13 02:42:34] [UNKNOWN] server.identity "my_server_identity"
[2025-11-13 02:51:18] [USER 76561199145125286 38.150.15.252:33438] inventory.endloot
[2025-11-13 02:53:22] [USER 76561199145125286 38.150.15.252:33438] lighttoggle
[2025-11-13 02:53:40] [USER 76561199145125286 38.150.15.252:33438] inventory.endloot
[2025-11-13 02:54:29] [USER 76561199145125286 38.150.15.252:33438] lighttoggle
[2025-11-13 02:54:42] [USER 76561199145125286 38.150.15.252:33438] inventory.endloot
[2025-11-13 02:54:46] [USER 76561199145125286 38.150.15.252:33438] inventory.endloot
[2025-11-13 02:54:50] [USER 76561199145125286 38.150.15.252:33438] inventory.endloot
[2025-11-13 02:55:10] [USER 76561199145125286 38.150.15.252:33438] inventory.endloot
[2025-11-13 02:55:25] [USER 76561199145125286 38.150.15.252:33438] craft.add "656371026" "1" "0"
[2025-11-13 02:55:29] [USER 76561199145125286 38.150.15.252:33438] craft.add "1072924620" "1" "0"
[2025-11-13 02:55:32] [USER 76561199145125286 38.150.15.252:33438] craft.add "-1802083073" "1" "0"
[2025-11-13 02:55:43] [USER 76561199145125286 38.150.15.252:33438] craft.add "1158340332" "1" "0"
[2025-11-13 02:56:05] [USER 76561199145125286 38.150.15.252:33438] craft.add "1883981800" "1" "0"
[2025-11-13 02:56:22] [USER 76561199145125286 38.150.15.252:33438] inventory.endloot
[2025-11-13 02:56:28] [USER 76561199145125286 38.150.15.252:33438] lighttoggle
[2025-11-13 02:56:29] [USER 76561199145125286 38.150.15.252:33438] lighttoggle
[2025-11-13 02:56:33] [USER 76561199145125286 38.150.15.252:33438] inventory.endloot
[2025-11-13 02:56:51] [USER 76561199145125286 38.150.15.252:33438] inventory.endloot
[2025-11-13 02:56:55] [USER 76561199145125286 38.150.15.252:33438] inventory.endloot
[2025-11-13 02:57:16] [USER 76561199145125286 38.150.15.252:33438] lighttoggle
[2025-11-13 02:57:16] [USER 76561199145125286 38.150.15.252:33438] lighttoggle
[2025-11-13 02:57:17] [USER 76561199145125286 38.150.15.252:33438] lighttoggle
[2025-11-13 02:57:17] [USER 76561199145125286 38.150.15.252:33438] lighttoggle
[2025-11-13 02:57:18] [USER 76561199145125286 38.150.15.252:33438] lighttoggle
[2025-11-13 02:57:19] [USER 76561199145125286 38.150.15.252:33438] lighttoggle
[2025-11-13 02:57:37] [USER 76561199145125286 38.150.15.252:33438] lighttoggle
[2025-11-13 02:57:37] [USER 76561199145125286 38.150.15.252:33438] lighttoggle
[2025-11-13 03:01:55] [USER 76561199145125286 38.150.15.252:33438] server.save
[2025-11-13 03:10:11] [UNKNOWN] server.port "28015"
[2025-11-13 03:10:11] [UNKNOWN] server.identity "my_server_identity"
[2025-11-13 03:44:19] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:44:52] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:45:05] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:45:12] [USER 76561199145125286 38.150.15.252:55606] lighttoggle
[2025-11-13 03:45:12] [USER 76561199145125286 38.150.15.252:55606] lighttoggle
[2025-11-13 03:45:13] [USER 76561199145125286 38.150.15.252:55606] lighttoggle
[2025-11-13 03:45:29] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:45:33] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:47:46] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:48:01] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:48:07] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:48:35] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:48:40] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:48:44] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:48:52] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:49:01] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:49:07] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:49:11] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:49:15] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:49:21] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:49:26] [USER 76561199145125286 38.150.15.252:55606] lighttoggle
[2025-11-13 03:49:44] [USER 76561199145125286 38.150.15.252:55606] lighttoggle
[2025-11-13 03:49:54] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:50:18] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:52:07] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:52:14] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:54:13] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:54:16] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:54:29] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:54:37] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:54:39] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:54:41] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:54:45] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:54:50] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:55:07] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:55:18] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:55:22] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
[2025-11-13 03:55:28] [USER 76561199145125286 38.150.15.252:55606] inventory.endloot
